"","CTRL.NORM.175","CTRL.NORM.176","CTRL.NORM.177","SICD248.NORM.187","SICD248.NORM.188","SICD248.NORM.189","CTRL.HYPO.202","CTRL.HYPO.203","CTRL.HYPO.204","SICD248.HYPO.208","SICD248.HYPO.209","SICD248.HYPO.210"
"23064976",6.48449149816679,6.67632808154475,6.27005439214233,6.94343927104493,6.27617463596999,5.89956979027307,6.55476516486044,6.54891860344163,6.91645809619376,6.55439630201547,6.61996340278877,6.78053080730613
"23066331",5.44149434125825,5.31254373686199,5.07581937665349,4.39817480370521,4.50665611523667,4.62743921051905,4.21025258428251,4.5409582379629,4.34498730163032,3.94486632033014,4.20131457834578,4.26032348960645
"23066337",3.95524383281866,4.40822763783558,4.25644822185192,4.04055268634863,4.3196991855383,3.89923905286855,5.00710582648103,4.7083001497603,4.66174151718225,4.85266292249253,4.89684121814337,5.11815551010136
"23066339",3.67319665963633,3.1540323365257,3.73291451979224,3.38070952009852,3.49149649086713,3.45519020521076,3.53306603506237,3.77802502438971,3.52565376152089,3.73433544448237,3.37178962660803,3.55150605824533
"23066341",3.4597885185538,3.73029519156433,3.86673307721431,3.37143090817517,3.68608362455945,3.19628477158151,3.58138599069046,3.26379997990353,3.52380057407625,3.60847408226267,3.70135429501131,3.37461492960154
"23066346",3.43945049653508,3.56321527457736,3.80843148564704,3.45021081169047,3.68047234817426,3.42595705055794,3.62126125005075,3.81124750804737,3.55826900871941,3.87972462118041,3.47425753766953,3.88099052905482
"23066347",3.88592074522885,3.81234583373735,3.80286378127893,3.64159223395967,3.45801688091092,3.18900163513917,4.24881075353237,3.57112619081183,3.60013980262313,3.5512685834896,3.4321370207307,3.34698663184582
"23066348",3.8527356838876,3.83589156917119,3.52455139702896,4.02129477935232,3.78874276425087,3.50700464663644,3.76041278037672,3.75621431131477,3.83827131869422,3.89745308587898,3.6774653628498,3.52792507880522
"23066349",4.05060133764356,3.87158254176415,3.91732104420048,3.57996505017009,3.49011402322416,3.27635895129016,3.84060102620294,3.37949463129603,3.8391734469309,3.85500763708232,3.7507454360058,3.49683502183376
"23066351",5.81147465337623,5.73230858643451,5.94314806226388,4.9937162508714,5.16966384698886,4.97115779268316,5.49071252814428,5.01649239859133,5.25079983326502,5.48524849457157,5.13542872405738,4.66277974771079
"23066355",3.7807516240949,3.66314283528867,3.83131006345002,3.69890613087741,3.84176243580448,3.5636715569707,3.8514979368195,3.52611853447317,3.44540098384688,3.62237117276932,3.99379977961769,3.83678814550478
"23066359",7.25053701081845,7.13121031142454,7.0894885195862,7.40686509050689,7.31998113800496,7.13432050789993,6.75413846015832,6.85568233066941,6.93900970488935,6.87149137462294,6.83781262743181,7.06420624909602
"23066364",3.67319665963633,3.1540323365257,3.73291451979224,3.38070952009852,3.49149649086713,3.45519020521076,3.53306603506237,3.77802502438971,3.52565376152089,3.73433544448237,3.37178962660803,3.55150605824533
"23066365",5.58993376700546,5.55263369636669,5.73016550380136,5.67038570542939,5.75728852888262,5.45768019343977,5.87472261188601,5.51354092596601,5.55347639773292,5.8640565332533,5.8859880804061,5.90307030274641
"23066366",3.4597885185538,3.73029519156433,3.86673307721431,3.37143090817517,3.68608362455945,3.19628477158151,3.58138599069046,3.26379997990353,3.52380057407625,3.60847408226267,3.70135429501131,3.37461492960154
"23066371",3.43945049653508,3.56321527457736,3.80843148564704,3.45021081169047,3.68047234817426,3.42595705055794,3.62126125005075,3.81124750804737,3.55826900871941,3.87972462118041,3.47425753766953,3.88099052905482
"23066375",5.37180805838898,5.32990824236637,5.66016168813819,5.21077754739085,5.4773367334325,5.6822712535232,5.68006210527463,5.660861411255,5.24238348837577,5.49286090970487,5.93375721704102,5.64488783371451
"23066376",4.72339720601872,4.53251562801471,4.50655604428557,3.75880923641347,3.88873561670774,3.89186347776502,4.27779247223467,3.91572796572112,4.42486391710246,4.31985685481457,4.29256771341509,3.93212178271766
"23066378",5.81147465337623,5.73230858643451,5.94314806226388,4.9937162508714,5.16966384698886,4.97115779268316,5.49071252814428,5.01649239859133,5.25079983326502,5.48524849457157,5.13542872405738,4.66277974771079
"23066379",3.70101135575986,3.40149061523957,3.35719835084509,3.70438090390979,3.25476245772413,3.87613876581675,3.95806600613251,3.48673857061343,3.68980245231028,3.51913312164212,3.44480265408225,3.51007287539594
"23066381",3.7807516240949,3.66314283528867,3.83131006345002,3.69890613087741,3.84176243580448,3.5636715569707,3.8514979368195,3.52611853447317,3.44540098384688,3.62237117276932,3.99379977961769,3.83678814550478
